date,Province,Municipality,date_week
2017-01-02,granada,albolote,2017-01-02
2017-01-06,granada,albolote,2017-01-02
2017-02-02,granada,albolote,2017-01-30
2017-02-28,granada,albolote,2017-02-27
2017-04-01,granada,albolote,2017-03-27
2017-04-02,granada,albolote,2017-03-27
2017-04-14,granada,albolote,2017-04-10
2017-05-01,granada,albolote,2017-05-01
2017-08-15,granada,albolote,2017-08-14
2017-10-12,granada,albolote,2017-10-09
2017-11-01,granada,albolote,2017-10-30
2017-12-06,granada,albolote,2017-12-04
2017-12-08,granada,albolote,2017-12-04
2017-12-25,granada,albolote,2017-12-25
2017-01-02,granada,alhama-de-granada,2017-01-02
2017-01-06,granada,alhama-de-granada,2017-01-02
2017-02-28,granada,alhama-de-granada,2017-02-27
2017-04-01,granada,alhama-de-granada,2017-03-27
2017-04-02,granada,alhama-de-granada,2017-03-27
2017-04-14,granada,alhama-de-granada,2017-04-10
2017-05-01,granada,alhama-de-granada,2017-05-01
2017-08-15,granada,alhama-de-granada,2017-08-14
2017-10-12,granada,alhama-de-granada,2017-10-09
2017-11-01,granada,alhama-de-granada,2017-10-30
2017-12-06,granada,alhama-de-granada,2017-12-04
2017-12-08,granada,alhama-de-granada,2017-12-04
2017-12-25,granada,alhama-de-granada,2017-12-25
2017-01-02,granada,almunecar,2017-01-02
2017-01-06,granada,almunecar,2017-01-02
2017-02-28,granada,almunecar,2017-02-27
2017-03-19,granada,almunecar,2017-03-13
2017-04-01,granada,almunecar,2017-03-27
2017-04-02,granada,almunecar,2017-03-27
2017-04-14,granada,almunecar,2017-04-10
2017-05-01,granada,almunecar,2017-05-01
2017-08-15,granada,almunecar,2017-08-14
2017-10-12,granada,almunecar,2017-10-09
2017-11-01,granada,almunecar,2017-10-30
2017-12-06,granada,almunecar,2017-12-04
2017-12-08,granada,almunecar,2017-12-04
2017-12-25,granada,almunecar,2017-12-25
2017-01-02,granada,armilla,2017-01-02
2017-01-06,granada,armilla,2017-01-02
2017-02-28,granada,armilla,2017-02-27
2017-04-01,granada,armilla,2017-03-27
2017-04-02,granada,armilla,2017-03-27
2017-04-14,granada,armilla,2017-04-10
2017-05-01,granada,armilla,2017-05-01
2017-05-15,granada,armilla,2017-05-15
2017-08-15,granada,armilla,2017-08-14
2017-09-29,granada,armilla,2017-09-25
2017-10-12,granada,armilla,2017-10-09
2017-11-01,granada,armilla,2017-10-30
2017-12-06,granada,armilla,2017-12-04
2017-12-08,granada,armilla,2017-12-04
2017-12-25,granada,armilla,2017-12-25
2017-01-02,granada,baza,2017-01-02
2017-01-06,granada,baza,2017-01-02
2017-02-28,granada,baza,2017-02-27
